Datum,Depth_[m],Temp_[C]
02.03.94,5,5.0
02.03.94,10,5.0
02.03.94,20,5.2
02.03.94,30,5.1
02.03.94,40,5.0
23.03.94,0,7.5
23.03.94,5,6.5
23.03.94,10,6.9
23.03.94,20,6.4
23.03.94,30,6.4
23.03.94,40,6.7
19.04.94,0,7.1
19.04.94,5,6.8
19.04.94,10,6.8
19.04.94,20,6.9
19.04.94,30,6.8
19.04.94,40,6.8
17.05.94,0,16.3
17.05.94,5,14.1
17.05.94,10,9.7
17.05.94,20,8.6
17.05.94,30,8.5
17.05.94,40,9.0
07.06.94,0,16.9
07.06.94,5,15.4
07.06.94,10,13.2
07.06.94,20,9.6
07.06.94,30,8.7
07.06.94,40,8.9
26.07.94,0,25.7
26.07.94,5,23.5
26.07.94,10,19.3
26.07.94,20,14.0
26.07.94,30,10.6
26.07.94,40,10.0
24.08.94,0,23.1
24.08.94,5,21.6
24.08.94,10,15.8
24.08.94,20,11.2
24.08.94,30,10.3
24.08.94,40,10.6
20.09.94,0,15.1
20.09.94,5,15.5
20.09.94,10,14.8
20.09.94,20,9.2
20.09.94,30,8.1
20.09.94,40,8.0
12.10.94,0,15.6
12.10.94,5,15.3
12.10.94,10,15.3
12.10.94,20,10.0
12.10.94,30,10.4
12.10.94,40,10.0
16.11.94,0,11.6
16.11.94,5,11.6
16.11.94,10,11.7
16.11.94,20,9.8
16.11.94,30,8.3
16.11.94,40,7.8
14.12.94,0,9.6
14.12.94,5,9.0
14.12.94,10,8.8
14.12.94,20,8.7
14.12.94,30,7.7
14.12.94,40,4.1
17.01.95,0,4.5
17.01.95,5,4.4
17.01.95,10,4.5
17.01.95,20,4.5
17.01.95,30,5.3
17.01.95,40,4.8
21.02.95,0,6.7
21.02.95,5,6.1
21.02.95,10,5.8
21.02.95,20,5.6
21.02.95,30,5.9
21.02.95,40,6.0
21.03.95,0,6.7
21.03.95,5,6.0
21.03.95,10,6.5
21.03.95,20,6.1
21.03.95,30,6.3
21.03.95,40,5.9
25.04.95,0,8.8
25.04.95,5,8.4
25.04.95,10,8.0
25.04.95,20,7.9
25.04.95,30,7.7
25.04.95,40,7.4
23.05.95,0,15.0
23.05.95,5,13.1
23.05.95,10,11.6
23.05.95,20,9.7
23.05.95,30,9.7
23.05.95,40,9.1
20.06.95,0,20.9
