Time [d] (1.col)    z [m] (1.row)    Absorption [m-1] (rest)
1
 9079.5000 0.340
 9084.0000 0.381
 9106.5000 0.486
 9114.0000 0.414
 9142.5000 0.340
 9145.0000 0.642
 9176.0000 0.475
 9183.5000 0.944
 9204.0000 0.541
 9212.5000 0.630
 9232.5000 2.125
 9235.0000 0.609
 9261.5000 1.308
 9265.0000 0.594
 9295.5000 1.133
 9296.0000 0.570
 9324.5000 0.944
 9326.0000 0.751
 9357.0000 0.890
 9358.5000 1.889
 9387.5000 1.062
 9388.0000 0.614
 9415.5000 0.810
 9418.0000 0.441
 9449.0000 0.381
 9450.5000 0.459
 9477.5000 0.486
 9479.0000 0.414
 9510.0000 0.642
 9512.5000 0.378
 9541.0000 0.475
 9541.5000 0.425
 9568.5000 0.895
 9569.0000 0.541
 9597.5000 0.680
 9600.0000 0.609
 9625.5000 0.436
 9630.0000 0.594
 9659.5000 0.378
 9661.0000 0.570
 9688.5000 1.133
 9691.0000 0.751
 9716.5000 2.125
 9722.0000 0.890
 9750.5000 0.944
 9753.0000 0.614
 9778.5000 0.459
 9783.0000 0.441
 9807.5000 0.425
 9814.0000 0.381
 9842.5000 0.773
 9844.0000 0.414
 9875.0000 0.642
 9883.5000 0.486
 9906.0000 0.475
 9912.5000 0.500
 9935.0000 0.541
 9940.5000 0.630
 9966.0000 0.609
 9968.5000 1.133
 9996.0000 0.594
10002.5000 1.133
10023.5000 0.309
10027.0000 0.570
10052.5000 0.630
10057.0000 0.751
10080.5000 1.308
10088.0000 0.890
10115.5000 0.810
10119.0000 0.614
10149.0000 0.441
10149.5000 0.630
10180.0000 0.381
10205.5000 0.425
10210.0000 0.414
10241.0000 0.642
10248.5000 2.429
10272.0000 0.475
10280.5000 0.515
10300.0000 0.541
10304.5000 0.531
10324.5000 0.459
10331.0000 0.609
10359.5000 0.944
10361.0000 0.594
10392.0000 0.570
10395.5000 0.680
10422.0000 0.751
10429.5000 0.850
10453.0000 0.890
10457.5000 0.739
10484.0000 0.614
10513.5000 0.362
10514.0000 0.441
10542.5000 0.340
10545.0000 0.381
10569.5000 0.266
10575.0000 0.414
10605.5000 0.531
10606.0000 0.642
10637.0000 0.475
10646.5000 0.486
10665.0000 0.541
10668.5000 0.354
10695.5000 0.500
10696.0000 0.609
10726.0000 0.594
10730.5000 0.567
10757.0000 0.570
10759.5000 0.515
10786.5000 0.486
10787.0000 0.751
10818.0000 0.890
10821.5000 0.567
10849.0000 0.614
10850.5000 0.567
10879.0000 0.441
10884.5000 0.586
10910.0000 0.381
10913.5000 0.447
10940.0000 0.414
10940.5000 0.654
10969.5000 0.354
10971.0000 0.642
11002.0000 0.475
11003.5000 0.486
11030.0000 0.541
11032.5000 0.654
11061.0000 0.609
11066.5000 0.548
11091.0000 0.594
11094.5000 0.567
11122.0000 0.570
11124.5000 0.850
11150.5000 0.708
11152.0000 0.751
11183.0000 0.890
11190.5000 0.515
11214.0000 0.614
11214.5000 0.607
11240.5000 0.340
11244.0000 0.441
11275.0000 0.381
11277.5000 0.200
11305.0000 0.414
11309.5000 0.515
11336.0000 0.642
11341.5000 0.486
11367.0000 0.475
11382.5000 0.378
11395.5000 0.262
11396.0000 0.541
11424.5000 0.405
11427.0000 0.609
11452.5000 0.567
11457.0000 0.594
11487.5000 0.362
11488.0000 0.570
11514.5000 0.810
11518.0000 0.751
11549.0000 0.890
11550.5000 0.708
11578.5000 0.630
11580.0000 0.614
11610.0000 0.441
11612.5000 0.405
11641.0000 0.381
11641.5000 0.708
11668.5000 0.447
11671.0000 0.414
11702.0000 0.642
11710.5000 0.340
11733.0000 0.475
11738.5000 0.531
11761.0000 0.541
11766.5000 0.486
11792.0000 0.609
11794.5000 0.531
11822.0000 0.594
11822.5000 0.680
11851.5000 0.309
11853.0000 0.570
11883.0000 0.751
11885.5000 0.944
11914.0000 0.890
11920.5000 0.405
11945.0000 0.614
11949.5000 0.362
11975.0000 0.441
11977.5000 0.395
12006.0000 0.381
12012.5000 0.654
12032.5000 0.362
12036.0000 0.414
12067.0000 0.642
12075.5000 0.567
12098.0000 0.475
12103.5000 0.515
12123.5000 0.515
12126.0000 0.541
12157.0000 0.609
12158.5000 0.567
12186.5000 0.630
12187.0000 0.594
12218.0000 0.570
12221.5000 0.773
12248.0000 0.751
12249.5000 0.944
12279.0000 0.890
12284.5000 0.607
12310.0000 0.614
12313.5000 0.630
12340.0000 0.441
12341.5000 0.386
12368.5000 0.298
12371.0000 0.381
12396.5000 0.395
12401.0000 0.414
12431.5000 0.405
12432.0000 0.642
12460.5000 0.425
12463.0000 0.475
12487.5000 0.548
12491.0000 0.541
12516.5000 0.425
12522.0000 0.609
12552.0000 0.594
12557.5000 0.354
12583.0000 0.570
12586.5000 0.708
12613.0000 0.751
12613.5000 0.531
12641.5000 1.133
12644.0000 0.890
12670.5000 0.500
12675.0000 0.614
12705.0000 0.441
12705.5000 0.405
12736.0000 0.381
12739.5000 0.243
12766.0000 0.414
12767.5000 0.283
12797.0000 0.642
12800.5000 0.680
12828.0000 0.475
12830.5000 0.567
12857.0000 0.541
12858.5000 0.567
12886.5000 0.531
12888.0000 0.609
12914.5000 0.531
12918.0000 0.594
12943.5000 0.500
12949.0000 0.570
12970.5000 0.680
12979.0000 0.751
13005.5000 1.214
13010.0000 0.890
13034.5000 0.378
13041.0000 0.614
13069.5000 0.486
13071.0000 0.441
13096.5000 0.680
13102.0000 0.381
13131.5000 0.315
13132.0000 0.414
13163.0000 0.642
13168.5000 0.459
13194.0000 0.475
13195.5000 0.283
13222.0000 0.541
13222.5000 0.486
